Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3014.02397903722/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,Noble Address,Dydx Address
0xae91c299e37557054c14d3d289ac19487c1239c3f656dba8543458886ea81440,18672774,1701206531,2023-11-28 21:22:11,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.009017040665868453,27.1775767868813,2049.10,,,Receive Message,noble1wa5g4at8yfmph96jxsvn0ynnf5qx73h0l6ecrs,dydx1wa5g4at8yfmph96jxsvn0ynnf5qx73h07qz5mf
0xe2844498ca1d998bcbd1be2bc84ea5f3eae6535851cf965f862c58c0f5c3905d,18672891,1701207935,2023-11-28 21:45:35,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.006241603168870534,18.8123416186105,2049.10,,,Receive Message,noble1wa5g4at8yfmph96jxsvn0ynnf5qx73h0l6ecrs,dydx1wa5g4at8yfmph96jxsvn0ynnf5qx73h07qz5mf
0x2c1190216f7f5aeea6e040e8cf1912680c425efdbd20dc20c571ad1c3f55fcfe,18673755,1701218447,2023-11-29 00:40:47,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005087423011212088,15.333614947299,2029.17,,,Receive Message,noble1xccnldlwmgpq4hc855f3nzvshfl5nw746uqmv0,dydx1xccnldlwmgpq4hc855f3nzvshfl5nw74mxmh5k
0x6172b636b26c75891d39f329093fb51352c8137e5d5ca20adc87937ac292a083,18673804,1701219035,2023-11-29 00:50:35,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005683995174754328,17.1316977534414,2029.17,,,Receive Message,noble1zhd4x0r2c5tcfhgwnqh9amrtz62anq4jds6wf6,dydx1zhd4x0r2c5tcfhgwnqh9amrtz62anq4jv2pz3r
0xdaa39fe49f608841be601ca4b734b3e09d8288b780e67e065fe904a9939ccbcd,18673935,1701220619,2023-11-29 01:16:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.0054373024088432,16.3881598415302,2029.17,,,Receive Message,noble10r39fueph9fq7a6lgswu4zdsg8t3gxlqy0ev5a,dydx10r39fueph9fq7a6lgswu4zdsg8t3gxlq94zqvy
0x7cd08bf3023d2a64a2cebe2017d44e8c36cade3b5b2af7ff8d8d63d49055787c,18673992,1701221303,2023-11-29 01:28:23,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005828109757550778,17.5660625617188,2029.17,,,Receive Message,noble16s4af4eev8g3edsrsv5au6c8ek3rntyaajr8mw,dydx16s4af4eev8g3edsrsv5au6c8ek3rntyaugctrh
0xeaa09ccfe5efe663989d087e2ae031e14742078fa508d1bed11f4e44a2012d37,18673997,1701221363,2023-11-29 01:29:23,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.005839279724245924,17.5997291091831,2029.17,,,Receive Message,noble10r39fueph9fq7a6lgswu4zdsg8t3gxlqy0ev5a,dydx10r39fueph9fq7a6lgswu4zdsg8t3gxlq94zqvy
0xea2f594b092370f498b567a85ebbbbd8fec01e3f5161c15ac0f14935992f80d6,18674012,1701221543,2023-11-29 01:32:23,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004589990504157708,13.8343414430845,2029.17,,,Receive Message,noble16s4af4eev8g3edsrsv5au6c8ek3rntyaajr8mw,dydx16s4af4eev8g3edsrsv5au6c8ek3rntyaugctrh
0x6b4d312744a0359f8d3b7b7e6b27a290392d7ff6d1794711a84476b8cf694af4,18674040,1701221879,2023-11-29 01:37:59,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.004150768076493618,12.510514513974,2029.17,,,Receive Message,noble16s4af4eev8g3edsrsv5au6c8ek3rntyaajr8mw,dydx16s4af4eev8g3edsrsv5au6c8ek3rntyaugctrh
0xc0e3b132072af325e4d70e853bf3e26f75313787e0a0ee7c62c2767b57c42498,18674281,1701224783,2023-11-29 02:26:23,0xef1a3c293875b8240f20d0bbbb2461695cd1e76d,0x0a992d191deec32afe36203ad87d7d289a738f81,,0,0,0,0.0043811360688282,13.2048491668731,2029.17,,,Receive Message,noble1vskjrd7skmexwxqw263dd8yzv9eq93zvz78zh6,dydx1vskjrd7skmexwxqw263dd8yzv9eq93zvryuw0r
